,Dyad,Session,Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,Duration - hh:mm:ss.ms,P1,P2
278,11,2,00:20:05.080,00:20:06.190,00:00:01.110,,damn it so difficult to use 
279,11,2,00:20:06.600,00:20:07.560,00:00:00.960,,I would prefer a mouse but pause filler it's 
280,11,2,00:20:09.675,00:20:11.350,00:00:01.675,,wait (inaudible) 
281,11,2,00:20:12.765,00:20:14.400,00:00:01.635,,yeah six oh two 
282,11,2,00:20:15.255,00:20:17.730,00:00:02.475,six o two and then just do two two two ,
283,11,2,00:20:16.795,00:20:17.075,00:00:00.280,,positive 
284,11,2,00:20:20.220,00:20:26.460,00:00:06.240,y equals six over two equals thirteen ,
285,11,2,00:20:26.425,00:20:27.025,00:00:00.600,,oh yeah that's all I wrote 
286,11,2,00:20:27.240,00:20:28.410,00:00:01.170,,that's all I wrote up here yeah pause filler but okay 
287,11,2,00:20:33.950,00:20:37.320,00:00:03.370,next one all right this is negative all right ,
288,11,2,00:20:38.255,00:20:39.675,00:00:01.420,,yup a bunch of negatives here pause filler yup so pause filler 
289,11,2,00:20:44.030,00:20:45.120,00:00:01.090,you can get this out of the way or no ,
290,11,2,00:20:45.480,00:20:47.190,00:00:01.710,we could it the other way around what's that ,
291,11,2,00:20:47.580,00:20:48.790,00:00:01.210,you want to start on ,
292,11,2,00:20:49.730,00:20:50.460,00:00:00.730,what do you think is here ,
293,11,2,00:20:50.820,00:20:51.800,00:00:00.980,,I think we should move
294,11,2,00:20:54.385,00:20:56.525,00:00:02.140,,I think we should move the x over negative five 
295,11,2,00:20:57.110,00:20:58.600,00:00:01.490,,so I think we should pause filler should probably 
296,11,2,00:21:00.140,00:21:00.840,00:00:00.700,to the right side of left side ,
297,11,2,00:21:02.365,00:21:02.885,00:00:00.520,,to the right side 
298,11,2,00:21:02.970,00:21:03.970,00:00:01.000,okay so then we just add twelve I mean ,
299,11,2,00:21:05.475,00:21:06.755,00:00:01.280,,so yeah we can subtract seventeen 
300,11,2,00:21:07.760,00:21:08.790,00:00:01.030,subtract seventeen then yeah ,
301,11,2,00:21:10.090,00:21:13.170,00:00:03.080,,okay so subtracting seventeen we would get 
302,11,2,00:21:13.865,00:21:19.470,00:00:05.605,,pause filler negative ninety no negative hundred negative a hundred 
