loss,hidden_dim,layer_dim,dropout,residxSD, residxQE, residxSV, residxPR, residxHD, residexTL, resvalSD,resvalQE,resvalSV,resvalPR,resvalHD,resvalTL
BCELoss(),16,16,0.1,14,13,2,1,13,10,0.027,-0.008,0.056,0.172,0.067,0.186
BCELoss(),16,16,0.1,17,17,2,2,9,11,0.027,-0.008,0.054,0.172,0.069,0.185
BCELoss(),16,16,0.1,17,26,2,2,6,20,0.026,-0.001,0.054,0.176,0.072,0.185
BCELoss(),16,16,0.1,12,0,2,2,11,8,0.025,-0.008,0.054,0.176,0.066,0.185
BCELoss(),16,16,0.1,20,16,2,2,19,6,0.028,-0.008,0.054,0.172,0.064,0.185
MSELoss(),16,16,0.2,15,17,2,2,5,14,0.027,-0.004,0.054,0.172,0.071,0.057
MSELoss(),16,16,0.2,14,0,11,2,14,10,0.027,-0.012,0.054,0.172,0.064,0.057
MSELoss(),16,16,0.2,23,0,3,3,5,17,0.026,-0.008,0.056,0.176,0.077,0.058
MSELoss(),16,16,0.2,18,0,2,2,9,12,0.028,-0.004,0.054,0.167,0.064,0.057
MSELoss(),16,16,0.2,17,14,3,2,11,12,0.028,-0.012,0.051,0.176,0.07,0.058
BCELoss(),16,16,0.2,21,0,3,2,5,13,0.028,-0.004,0.054,0.176,0.078,0.185
BCELoss(),16,16,0.2,13,20,2,2,5,15,0.031,-0.0,0.054,0.176,0.074,0.185
BCELoss(),16,16,0.2,23,22,1,1,12,19,0.028,-0.004,0.054,0.172,0.074,0.185
BCELoss(),16,16,0.2,14,15,2,2,7,10,0.03,0.0,0.054,0.172,0.068,0.185
BCELoss(),16,16,0.2,20,18,4,3,15,13,0.029,-0.004,0.054,0.176,0.068,0.185
MSELoss(),32,2,0.1,16,0,1,5,14,16,0.151,-0.007,0.039,0.141,0.138,0.055
MSELoss(),32,2,0.1,12,12,1,3,10,12,0.149,-0.005,0.036,0.141,0.142,0.054
MSELoss(),32,2,0.1,11,12,1,4,12,12,0.138,0.012,0.045,0.14,0.154,0.054
MSELoss(),32,2,0.1,14,14,1,5,14,13,0.135,-0.005,0.063,0.141,0.146,0.055
MSELoss(),32,2,0.1,12,12,1,2,12,13,0.124,-0.003,0.043,0.139,0.146,0.054
BCELoss(),32,2,0.1,12,12,1,3,12,11,0.146,0.004,0.04,0.137,0.146,0.178
BCELoss(),32,2,0.1,11,11,1,1,9,11,0.133,0.008,0.046,0.142,0.154,0.18
BCELoss(),32,2,0.1,11,11,1,1,11,11,0.155,0.007,0.045,0.142,0.149,0.179
BCELoss(),32,2,0.1,14,14,1,6,13,14,0.132,-0.007,0.044,0.136,0.13,0.181
BCELoss(),32,2,0.1,12,12,1,2,11,10,0.148,0.007,0.037,0.14,0.151,0.18
MSELoss(),32,2,0.2,12,12,1,4,10,12,0.136,-0.008,0.04,0.14,0.14,0.056
MSELoss(),32,2,0.2,13,13,1,5,12,13,0.139,-0.003,0.038,0.145,0.141,0.055
MSELoss(),32,2,0.2,11,11,1,4,11,11,0.146,-0.01,0.041,0.142,0.134,0.055
MSELoss(),32,2,0.2,14,14,1,3,13,13,0.148,0.003,0.041,0.139,0.147,0.055
MSELoss(),32,2,0.2,8,0,1,2,10,10,0.122,-0.013,0.041,0.145,0.146,0.055
BCELoss(),32,2,0.2,14,14,1,1,13,14,0.145,0.002,0.042,0.143,0.126,0.18
BCELoss(),32,2,0.2,18,18,1,6,17,18,0.15,0.02,0.044,0.143,0.153,0.179
BCELoss(),32,2,0.2,10,11,1,4,11,10,0.137,0.019,0.042,0.14,0.156,0.179
BCELoss(),32,2,0.2,9,11,1,3,11,11,0.14,0.016,0.041,0.145,0.153,0.179
BCELoss(),32,2,0.2,13,14,1,5,10,13,0.123,0.005,0.042,0.149,0.14,0.183
MSELoss(),32,4,0.1,13,13,0,0,11,13,0.132,0.002,0.045,0.153,0.157,0.056
MSELoss(),32,4,0.1,11,9,0,2,6,4,0.028,-0.019,0.042,0.152,0.065,0.057
