"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter","P2","P1","Experimenter 2"
00:14:44.910,00:14:45.359,00:00:00.449,,,"whoo",,
00:14:45.359,00:14:46.321,00:00:00.962,,,,"all right yeah",
00:14:53.700,00:14:55.627,00:00:01.927,,,,"stop come out and get this",
00:14:56.814,00:14:57.263,00:00:00.449,,,"okay",,
00:14:57.263,00:14:59.688,00:00:02.425,,,,"up okay hover hover hover",
00:15:00.237,00:15:03.898,00:00:03.661,,,"should we just like go leave hello",,
00:15:04.557,00:15:06.173,00:00:01.616,,,,"pause filler I don't know",
00:15:06.173,00:15:09.505,00:00:03.332,,,,"is there anybody even out there like none on the race",
00:15:09.505,00:15:10.413,00:00:00.908,,,,"this is terrible",
00:15:10.413,00:15:11.281,00:00:00.868,,,,"where is undo",
00:15:11.381,00:15:13.027,00:00:01.646,,,,"can you undo that",
00:15:13.077,00:15:15.322,00:00:02.245,,,,"(laughter) this thing hates me",
00:15:16.859,00:15:19.094,00:00:02.235,,,"it's not letting me undo",,
00:15:19.193,00:15:21.428,00:00:02.235,,,,"oh well there's no map on this page",
00:15:21.428,00:15:23.324,00:00:01.896,,,"erase erase erase erase new",,
00:15:26.577,00:15:28.921,00:00:02.344,,,,"I think this thing is magnetic or something that",
00:15:28.921,00:15:30.119,00:00:01.198,,,,"it can see it",
00:15:30.847,00:15:34.988,00:00:04.141,,,,"that�s just like random thought about these okay",
00:15:36.135,00:15:37.542,00:00:01.407,,,"should I go out and get them",,
00:15:38.090,00:15:44.442,00:00:06.352,,,,"like where I'll go and see where they are let's see",
00:16:03.982,00:16:05.179,00:00:01.197,,,,"did you find anyone",
00:16:08.624,00:16:09.810,00:00:01.186,,,"we just had to stop so",,
00:16:10.916,00:16:13.170,00:00:02.254,,,,"is she out wait is she out there",
00:16:12.740,00:16:13.723,00:00:00.983,,"excuse me if you can",,,
00:16:13.181,00:16:13.849,00:00:00.668,,,"there's a person",,
00:16:14.530,00:16:15.291,00:00:00.761,,,,"oh okay",
00:16:16.236,00:16:17.042,00:00:00.806,,"you guys are going to keep going",,,
00:16:17.770,00:16:19.736,00:00:01.966,,"pause filler just tell her to go to page thirteen",,,
00:16:19.975,00:16:20.494,00:00:00.519,,"here you go",,,
00:16:21.153,00:16:24.405,00:00:03.252,,,"okay pause filler he said to go to page thirteen",,
00:16:24.655,00:16:25.892,00:00:01.237,,,,"I'm on page thirteen",
00:16:26.111,00:16:26.580,00:00:00.469,,,"okay",,
00:16:27.099,00:16:30.920,00:00:03.821,,,,"so now do you tutor me or what",
00:16:30.990,00:16:31.878,00:00:00.888,,,,"I'm confused",
00:16:32.188,00:16:33.515,00:00:01.327,,,"he didn't tell me he just",,
00:16:33.544,00:16:34.965,00:00:01.421,,,"I think I still do it",,
00:16:35.431,00:16:35.959,00:00:00.528,,,,"okay",
00:16:36.073,00:16:36.859,00:00:00.786,,,"okay yeah",,
00:16:37.005,00:16:37.533,00:00:00.528,,,,"so",
00:16:39.037,00:16:40.775,00:00:01.738,,,"pause filler let's see",,
00:16:41.000,00:16:42.424,00:00:01.424,,,,"oh my god I hate this thing",
00:16:43.651,00:16:45.876,00:00:02.225,,,,"so I'll make this full screen let's see",
00:16:48.031,00:16:51.240,00:00:03.209,,,"so that means it's (inaudible)",,
00:16:49.646,00:16:50.400,00:00:00.754,,,,"there we go",
00:16:51.577,00:16:57.380,00:00:05.803,,,,"there we go that way (inaudible) easier okay (sfx) close",
00:17:00.354,00:17:03.017,00:00:02.663,,,,"oh you subtract to two Rs instead of r",
00:17:08.166,00:17:10.171,00:00:02.005,,,,"wait hold on I want to make sure it's right",
00:17:13.894,00:17:15.120,00:00:01.226,,"you guys unlocked the bonus round",,,
00:17:15.250,00:17:15.569,00:00:00.319,,,,"what",
00:17:15.569,00:17:16.856,00:00:01.287,,"you guys unlocked the bonus round",,,
00:17:16.856,00:17:18.632,00:00:01.776,,"so I'm going to take this away",,,
00:17:18.632,00:17:20.538,00:00:01.906,,"pause filler just keep working keep helping",,,
00:17:20.538,00:17:22.054,00:00:01.516,,"you work through the problems",,,
00:17:22.204,00:17:24.129,00:00:01.925,,"pause filler but you are still the tutor",,,
00:17:24.369,00:17:25.007,00:00:00.638,,,,"okay thank you",
00:17:25.287,00:17:25.536,00:00:00.249,,"yup",,,
00:17:27.372,00:17:27.592,00:00:00.220,,,"okay",,
00:17:28.639,00:17:30.605,00:00:01.966,,"you guys make sure you're (inaudible)",,,
00:17:30.784,00:17:38.437,00:00:07.653,,,,"r minus thirty three how is your handwriting so neat with this thing oh my god",
00:17:39.175,00:17:41.849,00:00:02.674,,,"really I think it looks really messy",,
00:17:41.849,00:17:42.029,00:00:00.180,,,,"really",
00:17:42.308,00:17:46.648,00:00:04.340,,,"wait I think okay I think you're in the room like right next to me",,
00:17:46.648,00:17:48.434,00:00:01.786,,,"because he just walked yeah",,
00:17:48.434,00:17:49.821,00:00:01.387,,,"and you're like right over there",,
